"","school_id","name","school_type","school_type_detail","grade_band","county","locale_code","pvt_pct_nonwhite","enrollment","teacher_fte"
"124","01604249","GOOD SHEPHERD CATHOLIC SCHOOL","private","private","ES/MS","CECIL","22",6.56,"104","10.1"
"125","01604271","IMMACULATE CONCEPTION SCHOOL","private","private","ES/MS","CECIL","21",9.6,"144","12.6"
"126","01604282","MOUNT AVIAT ACADEMY","private","private","ES/MS","CECIL","21",12.06,"227","17"
"127","01604293","SAINTS PETER & PAUL ELEMENTARY SCHOOL","private","private","ES/MS","TALBOT","32",9.52,"390","29"
"128","01604307","ST FRANCIS DE SALES CATHOLIC SCHOOL","private","private","ES/MS","WICOMICO","13",25.42,"197","14.5"
"129","01604351","SS PETER & PAUL HIGH SCHOOL","private","private","HS","TALBOT","32",6.97,"172","22.9"
"130","01604384","ARCHBISHOP NEALE SCHOOL","private","private","ES/MS","CHARLES","22",44.62,"354","15.3"
"131","01604395","BISHOP MCNAMARA HIGH SCHOOL","private","private","HS","PRINCE GEORGE'S","21",92.02,"855","74"
"132","01604409","CONNELLY SCHOOL OF THE HOLY CHILD","private","private","MS/HS","MONTGOMERY","21",17.83,"297","43.3"
"133","01604431","DEMATHA CATHOLIC HIGH SCHOOL","private","private","HS","PRINCE GEORGE'S","21",66.91,"865","66.9"
"134","01604442","ELIZABETH SETON HIGH SCHOOL","private","private","HS","PRINCE GEORGE'S","21",73.22,"553","51.1"
"135","01604453","FATHER ANDREW WHITE SJ SCHOOL","private","private","ES/MS","ST. MARY'S","31",4.55,"256","15.6"
"136","01604464","GEORGETOWN PREPARATORY SCHOOL","private","private","HS","MONTGOMERY","21",21.35,"496","53.9"
"137","01604475","OUR LADY OF GOOD COUNSEL HIGH SCHOOL","private","private","HS","MONTGOMERY","21",38.05,"1279","98.4"
"138","01604497","ACADEMY OF THE HOLY CROSS","private","private","HS","MONTGOMERY","21",33.45,"493","42.9"
"139","01604511","HOLY CROSS SCHOOL","private","private","ES/MS","MONTGOMERY","21",39.23,"178","13.1"
"140","01604533","HOLY REDEEMER SCHOOL","private","private","ES/MS","PRINCE GEORGE'S","21",47.46,"253","17.1"
"141","01604555","MOTHER CATHERINE ACADEMY","private","private","ES/MS","ST. MARY'S","41",9.15,"153","13.4"
"142","01604577","OUR LADY OF LOURDES SCHOOL","private","private","ES/MS","MONTGOMERY","13",40.36,"262","18.8"
"143","01604588","OUR LADY OF MERCY SCHOOL","private","private","ES/MS","MONTGOMERY","21",17.86,"226","28.4"
"144","01604613","THE WOODS ACADEMY","private","private","ES/MS","MONTGOMERY","13",40.28,"321","35.9"
